| time |reset|ARegister|DRegister|RAM64[16]|RAM64[17]|RAM64[18]|RAM64[19]|
| 0    |  0  |       0 |       0 |      17 |      26 |      57 |       0 |
| 1    |  0  |      16 |       0 |      17 |      26 |      57 |       0 |
| 2    |  0  |      16 |      17 |      17 |      26 |      57 |       0 |
| 3    |  0  |      17 |      17 |      17 |      26 |      57 |       0 |
| 4    |  0  |      17 |      43 |      17 |      26 |      57 |       0 |
| 5    |  0  |      18 |      43 |      17 |      26 |      57 |       0 |
| 6    |  0  |      18 |     -14 |      17 |      26 |      57 |       0 |
| 7    |  0  |      19 |     -14 |      17 |      26 |      57 |       0 |
| 8    |  0  |      19 |     -14 |      17 |      26 |      57 |     -14 |
| 9    |  0  |       0 |     -14 |      17 |      26 |      57 |     -14 |
| 10   |  0  |       0 |     -14 |      17 |      26 |      57 |     -14 |
| 11   |  1  |       0 |     -14 |       4 |       3 |      34 |       0 |
| 12   |  0  |      16 |     -14 |       4 |       3 |      34 |       0 |
| 13   |  0  |      16 |       4 |       4 |       3 |      34 |       0 |
| 14   |  0  |      17 |       4 |       4 |       3 |      34 |       0 |
| 15   |  0  |      17 |       7 |       4 |       3 |      34 |       0 |
| 16   |  0  |      18 |       7 |       4 |       3 |      34 |       0 |
| 17   |  0  |      18 |     -27 |       4 |       3 |      34 |       0 |
| 18   |  0  |      19 |     -27 |       4 |       3 |      34 |       0 |
| 19   |  0  |      19 |     -27 |       4 |       3 |      34 |     -27 |
| 20   |  0  |       0 |     -27 |       4 |       3 |      34 |     -27 |
| 21   |  0  |       0 |     -27 |       4 |       3 |      34 |     -27 |
